# It is possible results use slightly different architecture, check the output.

# Final results for 1K epochs

LSTM Multi-Step Ahead Prediction
Configuration:
  Lookback window (K): 10 timesteps
  Prediction horizon (N): 10 timesteps
  Input features: 9
  Output features: 3
  Epochs: 1000
  Random seed: 42


Data/dataset_1.csv rows: 3397 Cols: 9 (3397x9)
Number of training samples: 3378 after removing windowSize and loopback
Converted eigen matrix to Tensor
Tensor shape: [3397, 9]
Angles tensor shape: [3397, 3]

Data Shapes
X (inputs):  [3378, 10, 9]
y (targets): [3378, 10, 3]

Model Created
Architecture: Input(9) -> LSTM(128) -> FC(30)

Training Configuration
Batch size: 32
Epochs: 1000
Learning rate: 0.001
Optimizer: Adam
Loss function: torch::nn::MSELossImpl

Starting Training
Epoch   0 | Loss: 0.004878
Epoch   5 | Loss: 0.000430
Epoch  10 | Loss: 0.000333
Epoch  15 | Loss: 0.000308
Epoch  20 | Loss: 0.000257
Epoch  25 | Loss: 0.000234
Epoch  30 | Loss: 0.000214
Epoch  35 | Loss: 0.000207
Epoch  40 | Loss: 0.000191
Epoch  45 | Loss: 0.000188
Epoch  50 | Loss: 0.000176
Epoch  55 | Loss: 0.000170
Epoch  60 | Loss: 0.000165
Epoch  65 | Loss: 0.000160
Epoch  70 | Loss: 0.000151
Epoch  75 | Loss: 0.000147
Epoch  80 | Loss: 0.000141
Epoch  85 | Loss: 0.000140
Epoch  90 | Loss: 0.000135
Epoch  95 | Loss: 0.000134
  -- Saved model: lstm_model_epoch_100.pt
Epoch 100 | Loss: 0.000125
Epoch 105 | Loss: 0.000125
Epoch 110 | Loss: 0.000120
Epoch 115 | Loss: 0.000115
Epoch 120 | Loss: 0.000110
Epoch 125 | Loss: 0.000109
Epoch 130 | Loss: 0.000103
Epoch 135 | Loss: 0.000098
Epoch 140 | Loss: 0.000094
Epoch 145 | Loss: 0.000094
Epoch 150 | Loss: 0.000092
Epoch 155 | Loss: 0.000087
Epoch 160 | Loss: 0.000086
Epoch 165 | Loss: 0.000084
Epoch 170 | Loss: 0.000077
Epoch 175 | Loss: 0.000074
Epoch 180 | Loss: 0.000072
Epoch 185 | Loss: 0.000070
Epoch 190 | Loss: 0.000073
Epoch 195 | Loss: 0.000066
  -- Saved model: lstm_model_epoch_200.pt
Epoch 200 | Loss: 0.000063
Epoch 205 | Loss: 0.000060
Epoch 210 | Loss: 0.000059
Epoch 215 | Loss: 0.000057
Epoch 220 | Loss: 0.000055
Epoch 225 | Loss: 0.000054
Epoch 230 | Loss: 0.000050
