# Predict 10 timestamps - 1K Epochs ....

kostakis@DESKTOP-HM9Q2U8:~/dev/Akis-Kostakis-Diploma-Thesis/RNN$ ./lstm.out -epochs 1000

LSTM Multi-Step Ahead Prediction
Configuration:
Lookback window (K): 10 timesteps
  Prediction horizon (N): 10 timesteps
  Input features: 9
  Output features: 3
  Epochs: 1000

Data/dataset_1.csv rows: 3397 Cols: 9 (3397x9)
Number of training samples: 3378 after removing windowSize and loopback
Converted eigen matrix to Tensor
Tensor shape: [3397, 9]
Angles tensor shape: [3397, 3]

Data Shapes
X (inputs):  [3378, 10, 9]
y (targets): [3378, 10, 3]

Model Created
Architecture: Input(9) -> LSTM(128) -> FC(30)

Training Configuration
Batch size: 32
Epochs: 1000
Learning rate: 0.001
Optimizer: Adam
Loss function: torch::nn::MSELossImpl

Starting Training
Epoch   0 | Loss: 0.010712
Epoch   5 | Loss: 0.002320
Epoch  10 | Loss: 0.001236
Epoch  15 | Loss: 0.000982
Epoch  20 | Loss: 0.000813
Epoch  25 | Loss: 0.000737
Epoch  30 | Loss: 0.000647
Epoch  35 | Loss: 0.000551
Epoch  40 | Loss: 0.000494
Epoch  45 | Loss: 0.000439
Epoch  50 | Loss: 0.000387
Epoch  55 | Loss: 0.000354
Epoch  60 | Loss: 0.000349
Epoch  65 | Loss: 0.000321
Epoch  70 | Loss: 0.000281
Epoch  75 | Loss: 0.000317
Epoch  80 | Loss: 0.000271
Epoch  85 | Loss: 0.000265
Epoch  90 | Loss: 0.000251
Epoch  95 | Loss: 0.000284
  -- Saved model: lstm_model_epoch_100.pt
Epoch 100 | Loss: 0.000214
Epoch 105 | Loss: 0.000301
Epoch 110 | Loss: 0.000212
Epoch 115 | Loss: 0.000230
Epoch 120 | Loss: 0.000201
Epoch 125 | Loss: 0.000234
Epoch 130 | Loss: 0.000220
Epoch 135 | Loss: 0.000203
Epoch 140 | Loss: 0.000215
Epoch 145 | Loss: 0.000190
Epoch 150 | Loss: 0.000218
Epoch 155 | Loss: 0.000223
